id,state,period,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV
65,Ogun,Q1 2021,270,0,20,25,23,6,1,18,8,10,11,4,3,0,0,0,4
66,Ondo,Q1 2021,96,0,8,3,9,0,1,14,12,3,4,0,0,0,0,2,0
67,Osun,Q1 2021,78,0,11,6,8,0,2,7,10,2,2,2,1,0,0,3,0
68,Oyo,Q1 2021,129,0,14,7,19,1,2,19,17,5,4,2,0,0,2,1,0
69,Plateau,Q1 2021,15,0,1,3,7,1,0,4,9,0,0,1,0,0,0,0,1
70,Rivers,Q1 2021,12,0,4,0,0,0,0,2,0,0,1,0,0,0,0,0,1
71,Sokoto,Q1 2021,46,0,1,0,1,0,1,1,5,0,1,1,0,0,0,0,0
72,Taraba,Q1 2021,31,0,3,1,0,0,0,3,21,0,1,3,22,0,0,0,19
73,Yobe,Q1 2021,28,0,5,1,0,1,0,6,7,1,1,1,0,0,0,0,0
74,Zamfara,Q1 2021,29,0,2,0,0,0,1,6,2,0,5,0,1,0,0,0,1
75,Abia,Q2 2021,20,0,1,1,1,1,0,0,3,0,4,0,0,0,0,0,0
76,Adamawa,Q2 2021,70,0,3,3,0,0,0,11,1,0,3,14,0,0,0,0,2
77,Akwa Ibom,Q2 2021,10,0,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0
78,Anambra,Q2 2021,37,0,2,4,38,0,0,6,1,0,6,0,1,0,0,0,5
79,Bauchi,Q2 2021,55,0,8,5,0,2,0,17,7,0,5,5,1,0,0,0,7
80,Bayelsa,Q2 2021,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
81,Benue,Q2 2021,63,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2
82,Borno,Q2 2021,7,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,7
83,Cross River,Q2 2021,17,1,2,1,5,0,0,4,1,0,0,1,0,0,0,0,1
84,Delta,Q2 2021,46,0,6,1,5,0,0,3,0,0,0,0,0,0,0,0,10
85,Ebonyi,Q2 2021,20,0,6,0,0,0,0,4,0,0,1,0,0,0,0,0,2
86,Edo,Q2 2021,61,0,3,2,4,0,0,9,1,0,1,0,0,0,0,0,0
87,Ekiti,Q2 2021,39,0,2,0,1,1,0,1,4,1,0,1,0,0,0,0,10
88,Enugu,Q2 2021,8,0,9,2,4,1,0,9,4,0,2,0,0,0,0,0,39
89,FCT,Q2 2021,135,0,10,4,6,0,0,1,22,0,15,9,0,2,0,0,144
90,Gombe,Q2 2021,40,0,1,0,2,6,0,3,26,0,5,3,0,0,0,0,21
91,Imo,Q2 2021,6,0,5,0,3,0,0,1,3,0,2,1,0,0,0,0,3
92,Jigawa,Q2 2021,74,0,12,1,0,7,1,6,0,0,6,9,0,0,0,1,2
93,Kaduna,Q2 2021,179,0,21,1,3,4,1,31,12,2,4,8,0,0,0,5,19
94,Kano,Q2 2021,56,0,3,1,1,0,3,7,6,1,1,2,0,0,0,0,0
95,Katsina,Q2 2021,40,0,2,0,0,0,0,2,8,3,0,0,0,0,0,0,3
96,Kebbi,Q2 2021,41,0,0,0,0,1,0,4,1,0,4,0,0,1,0,0,2
97,Kogi,Q2 2021,56,0,3,6,5,4,0,10,9,0,7,2,2,0,0,0,32
98,Kwara,Q2 2021,64,0,10,6,3,0,0,16,3,0,0,0,0,2,0,0,37
99,Lagos,Q2 2021,75,0,7,6,20,0,0,6,14,6,3,0,0,0,0,3,0
100,Nasarawa,Q2 2021,107,1,6,2,5,3,2,43,37,1,10,4,1,2,0,0,48
101,Niger,Q2 2021,114,0,7,1,2,2,2,16,1,2,6,4,0,0,0,18,14
102,Ogun,Q2 2021,293,0,0,17,0,0,0,19,3,0,5,1,0,1,0,0,0
103,Ondo,Q2 2021,90,2,9,3,5,0,0,13,13,5,3,2,0,2,0,1,0
104,Osun,Q2 2021,61,0,15,3,7,1,1,8,4,2,4,3,0,0,0,3,0
105,Oyo,Q2 2021,107,1,10,2,4,0,0,22,12,5,11,2,0,0,0,5,0
106,Plateau,Q2 2021,31,0,2,3,17,0,0,10,17,1,2,4,0,0,0,0,6
107,Rivers,Q2 2021,13,0,0,0,2,0,2,3,4,0,4,0,0,0,0,0,0
